Action id,"
Municipality/Region name ",Province,Action Label/Name and Description,"Policy lever (voluntary, price, investments, mandating) (i.e., mode of governance)","Strategy
(Managable Coding)","Action
(Managable Coding)","Internal funding secured (i.e., funding from local gov budget) - Yes/No","External funding secured (e.g., from private sector, provincial/ferderal govt, etc.) - Yes/No","Project stage (e.g., planned, underway, ongoing, complete, not indicated)",,,,,,,,,
ID-Cambridge-002,Cambridge,Ontario,"Implement a Building Commissioning Program - to verify that buildings are constructed and maintained to optimal performance standards, with ongoing commissioning to ensure continuous peak performance, reduce operating costs, and inform retrofit opportunities, while scheduling commissioning every five years or upon changes in building function and employing change management techniques to guide occupant behavior.",Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve building operations and preventative maintenance,No,No,Ongoing,,,,,,,,,
ID-Cambridge-003,Cambridge,Ontario,Update Green Building Policy & Technical Standards  - Update Green Building Policy and associated technical standards to require that all newly constructed and deeply renovated buildings undergo a net-zero and alternative energy evaluation as part of the design process and require that the life cycle cost and return considerations for reducing GHG emissions be presented to Council. ,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Ongoing,,,,,,,,,
ID-Cambridge-004,Cambridge,Ontario,Complete Facility Utilization & Needs Assessments - Review service delivery requirements and needs with consideration to facility operational demands with the objectives of identifying operational and service delivery efficiencies.,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Complete,,,,,,,,,
ID-Cambridge-005,Cambridge,Ontario," Implement Energy Audit Recommendations - Implement energy audit recommendations by prioritizing efforts based on expected energy and cost savings, payback periods, and available resources, while seeking funding opportunities and incentives to improve the business case for high GHG reduction actions with longer or lower financial returns.",Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,Yes,No,Complete,,,,,,,,,
ID-Cambridge-006,Cambridge,Ontario,"Pilot a Building Energy Management System - using ENERGY STAR Portfolio Manager to monitor and benchmark energy performance, support ongoing commissioning, and identify opportunities for operational improvements, with annual performance reporting to track and assess energy and water consumption.",Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Complete,,,,,,,,,
ID-Candiac-001,Candiac,Québec,"Construction of new low-carbon, 100% electric buildings ",Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Not indicated,,,,,,,,,
ID-Candiac-002,Candiac,Québec,Implementation of energy efficiency and fossil fuel reduction projects in existing municipal buildings,Public Investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Not indicated,,,,,,,,,
ID-Candiac-003,Candiac,Québec,Implement measures to encourage energy efficiency and reduce fossil fuel consumption,Voluntary Action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Information gathering phase - action not yet identified ,No,No,Not indicated,,,,,,,,,
ID-Candiac-004,Candiac,Québec," Limit the consumption of fossil fuels in new residential, institutional, commercial and industrial buildings by prohibiting their use as the main source of heating.",Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Not indicated,,,,,,,,,
ID-Canmore-001,Canmore,Alberta,Continue to support and improve solar energy incentive program.,Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Ongoing,,,,,,,,,
ID-Canmore-002,Canmore,Alberta,"Energy labelling (e.g. Energuide) can be triggered at time of sale (e.g. through MLS system), or could be established as an annual reporting requirement",Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote building energy rating systems (commercial and residential),No,No,Planned,,,,,,,,,
ID-Canmore-003,Canmore,Alberta,"Introduce as a voluntary measure for existing buildings for 2-3 years, moving to mandatory disclosure. ",Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote voluntary energy use benchmarking programs,No,No,Planned,,,,,,,,,
ID-Canmore-004,Canmore,Alberta,"Update and strengthen the existing Green Building Regulations in the Land Use Bylaw, and further establish a procedure to guide 
renovations.",Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",No,No,Underway,,,,,,,,,
ID-Canmore-005,Canmore,Alberta,Direct franchise fees and local access fees to a dedicated fund to help finance and promote energy efficiency and GHG reduction measures. This will ensure a stable source of funding for this work.,Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Planned,,,,,,,,,
ID-Canmore-006,Canmore,Alberta,"Work with local industry partners, agencies and contractors to establish a Town led one stop shop for all energy retrofits. It may be appropriate for the Town to establish this function, or work with a partner to deliver it.",Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",No,No,Planned,,,,,,,,,
ID-Canmore-007,Canmore,Alberta,The Town of Canmore should consider passing a PACE Bylaw once the Provincial legislation and regulations are in place allowing property owners in the community to take advantage of this financing tool.,Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Planned,,,,,,,,,
ID-Canmore-008,Canmore,Alberta,"Establish a communications campaign to promote energy efficiency and conservation measures. 
Convene businesses and residents to share knowledge and raise awareness. 
Create an annual energy efficiency competition. 
Engage local partners (e.g. BOWDA) to encourage/facilitate ongoing professional development on energy efficient building 
practices.",Voluntary Action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Planned,,,,,,,,,
ID-Canmore-009,Canmore,Alberta,"Draw on developers and industry associations to evaluate and continually improve regulations, moving towards net zero energy buildings or similar.
Consider periodic updates of the Green Building Regulations.
Consider the creation of incentives for construction of net zero or similar homes/developments.",Action under consideration by municipality - not enough information to code.,,,No,No,Planned,,,,,,,,,
ID-Canmore-010,Canmore,Alberta,"Partner with industry to deliver single-family and multi-family demonstration projects that are near net zero or similar high green 
building standard.",Action under consideration by municipality - not enough information to code.,,,No,No,Planned,,,,,,,,,
